"ISO","Year","drought","earthquake"
"AFG",2000,1,0
"AFG",2001,0,2
"AFG",2002,0,3
"AFG",2003,0,1
"AFG",2004,0,1
"AFG",2005,0,2
"AFG",2006,1,1
"AFG",2008,1,0
"AFG",2009,0,1
"AFG",2010,0,1
"AFG",2011,1,0
"AFG",2012,0,1
"AFG",2013,0,1
"AFG",2015,0,2
"AFG",2018,1,0
"AGO",2001,1,0
"AGO",2004,1,0
"AGO",2012,1,0
"AGO",2017,1,0
"ALB",2009,0,1
"ALB",2019,0,3
"ARG",2002,0,1
"ARG",2003,1,0
"ARG",2009,1,0
"ARG",2018,1,0
"ARG",2019,1,0
"ARM",2000,1,0
"ASM",2009,0,1
"AUS",2002,1,0
"AUS",2006,1,0
"AUS",2018,1,0
"AZE",2000,1,1
"AZE",2012,0,2
"BDI",2003,1,0
"BDI",2004,0,1
"BDI",2005,1,0
"BDI",2008,1,0
"BDI",2009,1,0
"BDI",2010,1,0
"BFA",2001,1,0
"BFA",2011,1,0
"BFA",2014,1,0
"BGD",2000,0,1
"BGD",2003,0,1
"BGD",2004,0,1
"BGD",2009,1,0
"BGD",2015,0,1
"BGD",2016,0,1
"BGR",2000,1,0
"BGR",2006,0,1
"BGR",2012,0,1
"BIH",2000,1,0
"BIH",2003,1,0
"BOL",2000,1,0
"BOL",2004,1,0
"BOL",2008,1,0
"BOL",2010,1,0
"BOL",2013,1,0
"BOL",2014,1,0
"BOL",2016,1,0
"BRA",2001,1,0
"BRA",2002,1,0
"BRA",2004,1,0
"BRA",2005,1,0
"BRA",2007,1,1
"BRA",2010,1,0
"BRA",2012,1,0
"BRA",2014,1,0
"BRB",2007,0,1
"BRB",2010,1,0
"BTN",2009,0,1
"BTN",2011,0,1
"BWA",2015,1,0
"BWA",2019,1,0
"CHL",2005,0,1
"CHL",2007,0,2
"CHL",2010,0,1
"CHL",2012,0,1
"CHL",2014,0,1
"CHL",2015,0,1
"CHL",2019,0,1
"CHN",2000,3,5
"CHN",2001,2,5
"CHN",2002,3,2
"CHN",2003,2,11
"CHN",2004,0,5
"CHN",2005,2,2
"CHN",2006,1,6
"CHN",2007,0,1
"CHN",2008,1,7
"CHN",2009,2,2
"CHN",2010,1,5
"CHN",2011,0,7
"CHN",2012,0,6
"CHN",2013,1,8
"CHN",2014,2,8
"CHN",2015,1,5
"CHN",2016,1,3
"CHN",2017,1,4
"CHN",2018,0,2
"CHN",2019,0,3
"CMR",2001,1,0
"CMR",2005,1,0
"CMR",2012,1,0
"COD",2005,0,1
"COD",2008,0,1
"COD",2015,0,1
"COL",2000,0,1
"COL",2004,0,2
"COL",2007,0,1
"COL",2008,0,1
"COL",2013,0,1
"COL",2015,1,1
"COM",2014,0,1
"CPV",2002,1,0
"CPV",2017,1,0
"CRI",2003,0,1
"CRI",2004,0,1
"CRI",2009,0,1
"CRI",2012,0,1
"CRI",2014,1,0
"CRI",2018,1,0
"CUB",2000,1,0
"CUB",2004,1,0
"CUB",2015,1,0
"CYP",2000,1,0
"DEU",2004,0,1
"DJI",2005,1,0
"DJI",2007,1,0
"DJI",2008,1,0
"DJI",2010,1,0
"DMA",2004,0,1
"DOM",2003,0,1
"DZA",2003,0,2
"DZA",2004,0,2
"DZA",2006,0,1
"DZA",2014,0,1
"ECU",2009,1,0
"ECU",2013,1,0
"ECU",2014,0,1
"ECU",2016,0,2
"ECU",2019,0,2
"EGY",2002,0,1
"ERI",2008,1,0
"ESP",2011,0,1
"ETH",2003,1,0
"ETH",2005,1,0
"ETH",2008,1,0
"ETH",2009,1,0
"ETH",2010,1,0
"ETH",2011,1,0
"ETH",2015,1,0
"FJI",2015,1,0
"FRA",2019,0,1
"FSM",2016,1,0
"GBR",2007,0,1
"GEO",2000,1,0
"GEO",2002,0,1
"GEO",2009,0,1
"GLP",2004,0,1
"GMB",2002,1,0
"GMB",2012,1,0
"GMB",2015,1,0
"GNB",2002,1,0
"GNB",2006,1,0
"GRC",2000,0,1
"GRC",2001,0,1
"GRC",2002,0,1
"GRC",2003,0,1
"GRC",2008,0,1
"GRC",2014,0,2
"GRC",2017,0,2
"GRD",2010,1,0
"GTM",2001,1,1
"GTM",2009,1,0
"GTM",2011,0,1
"GTM",2012,1,1
"GTM",2013,0,1
"GTM",2014,1,1
"GTM",2017,0,1
"GTM",2018,1,0
"GUY",2010,1,0
"HND",2000,1,0
"HND",2001,1,0
"HND",2002,1,0
"HND",2004,1,0
"HND",2007,0,1
"HND",2009,1,1
"HND",2012,1,0
"HND",2014,1,0
"HND",2018,1,0
"HRV",2003,1,0
"HTI",2003,1,0
"HTI",2010,0,1
"HTI",2014,1,0
"HTI",2016,1,0
"HTI",2018,0,1
"HUN",2003,1,0
"HUN",2013,0,1
"IDN",2000,0,5
"IDN",2001,0,2
"IDN",2002,0,4
"IDN",2003,1,3
"IDN",2004,0,6
"IDN",2005,0,2
"IDN",2006,0,5
"IDN",2007,0,4
"IDN",2008,0,3
"IDN",2009,0,5
"IDN",2010,0,2
"IDN",2011,0,2
"IDN",2012,0,2
"IDN",2013,0,3
"IDN",2015,1,1
"IDN",2016,0,3
"IDN",2017,0,1
"IDN",2018,0,5
"IDN",2019,0,5
"IND",2000,1,0
"IND",2001,0,1
"IND",2002,1,1
"IND",2004,0,1
"IND",2005,0,1
"IND",2009,1,0
"IND",2011,0,1
"IND",2013,0,1
"IND",2015,1,3
"IND",2016,0,1
"IND",2018,1,0
"IRN",2000,0,2
"IRN",2001,0,1
"IRN",2002,0,5
"IRN",2003,0,5
"IRN",2004,0,1
"IRN",2005,0,4
"IRN",2006,0,3
"IRN",2008,0,2
"IRN",2009,0,1
"IRN",2010,0,6
"IRN",2012,0,3
"IRN",2013,0,3
"IRN",2014,0,2
"IRN",2017,0,3
"IRN",2018,0,3
"IRN",2019,0,2
"IRQ",2017,0,1
"ISL",2000,0,2
"ITA",2002,1,3
"ITA",2003,0,1
"ITA",2009,0,1
"ITA",2012,1,2
"ITA",2016,0,3
"ITA",2017,1,2
"JAM",2000,1,0
"JAM",2014,1,0
"JOR",2000,1,0
"JPN",2000,0,2
"JPN",2001,0,1
"JPN",2003,0,3
"JPN",2004,0,1
"JPN",2005,0,2
"JPN",2007,0,3
"JPN",2008,0,2
"JPN",2009,0,1
"JPN",2011,0,2
"JPN",2013,0,1
"JPN",2014,0,1
"JPN",2016,0,3
"JPN",2018,0,2
"JPN",2019,0,1
"KAZ",2003,0,1
"KEN",2004,1,1
"KEN",2005,1,0
"KEN",2008,1,0
"KEN",2010,1,0
"KEN",2011,1,0
"KEN",2014,1,0
"KEN",2016,1,0
"KEN",2019,1,0
"KGZ",2006,0,1
"KGZ",2008,0,2
"KGZ",2009,1,0
"KGZ",2011,0,1
"KGZ",2015,0,1
"KGZ",2017,0,1
"KHM",2001,1,0
"KHM",2002,1,0
"KHM",2005,1,0
"KHM",2016,1,0
"KOR",2001,1,0
"KOR",2016,0,1
"KOR",2017,0,1
"LAO",2019,1,0
"LCA",2007,0,1
"LCA",2010,1,0
"LKA",2001,1,0
"LKA",2004,0,1
"LKA",2012,1,0
"LKA",2014,1,0
"LKA",2016,1,0
"LKA",2019,1,0
"LSO",2002,1,0
"LSO",2007,1,0
"LSO",2011,1,0
"LSO",2016,1,0
"LSO",2019,1,0
"LTU",2006,1,0
"LTU",2018,1,0
"MAR",2004,0,1
"MDA",2000,1,0
"MDA",2007,1,0
"MDA",2012,1,0
"MDG",2000,1,0
"MDG",2002,1,0
"MDG",2005,1,0
"MDG",2008,1,0
"MDG",2014,1,0
"MDG",2016,1,0
"MDG",2017,1,0
"MDV",2004,0,1
"MEX",2000,0,1
"MEX",2002,1,0
"MEX",2003,0,1
"MEX",2010,0,1
"MEX",2011,1,1
"MEX",2012,0,1
"MEX",2014,0,2
"MEX",2017,0,2
"MEX",2018,0,1
"MHL",2013,1,0
"MHL",2015,1,0
"MKD",2016,0,1
"MLI",2001,1,0
"MLI",2005,1,0
"MLI",2006,1,0
"MLI",2010,1,0
"MLI",2011,1,0
"MMR",2004,0,1
"MMR",2011,0,1
"MMR",2012,0,1
"MMR",2016,0,1
"MNG",2000,1,0
"MOZ",2001,2,0
"MOZ",2003,1,0
"MOZ",2005,1,0
"MOZ",2006,0,1
"MOZ",2007,1,0
"MOZ",2008,1,0
"MOZ",2010,1,0
"MOZ",2016,1,0
"MRT",2001,1,0
"MRT",2010,1,0
"MRT",2011,1,0
"MRT",2017,1,0
"MRT",2018,1,0
"MTQ",2007,0,1
"MWI",2002,1,0
"MWI",2005,1,0
"MWI",2007,1,0
"MWI",2009,0,2
"MWI",2012,1,0
"MWI",2015,1,0
"MYS",2004,0,1
"MYS",2014,1,0
"MYS",2015,0,1
"NAM",2001,1,0
"NAM",2002,1,0
"NAM",2013,1,0
"NAM",2015,1,0
"NAM",2018,1,0
"NER",2001,1,0
"NER",2005,1,0
"NER",2009,1,0
"NER",2011,1,0
"NER",2015,1,0
"NER",2017,1,0
"NIC",2000,1,1
"NIC",2001,1,0
"NIC",2014,1,1
"NIC",2018,1,0
"NPL",2006,1,0
"NPL",2009,1,0
"NPL",2011,0,1
"NPL",2015,0,2
"NZL",2010,0,1
"NZL",2011,0,2
"NZL",2013,1,1
"NZL",2016,0,1
"PAK",2001,0,1
"PAK",2002,0,3
"PAK",2004,0,1
"PAK",2005,0,1
"PAK",2008,0,1
"PAK",2011,0,1
"PAK",2013,0,3
"PAK",2015,0,2
"PAK",2016,0,1
"PAK",2019,1,1
"PAN",2003,0,2
"PAN",2013,1,0
"PAN",2015,1,0
"PAN",2018,1,0
"PER",2001,0,3
"PER",2002,1,0
"PER",2004,1,0
"PER",2005,0,2
"PER",2006,1,0
"PER",2007,0,1
"PER",2011,0,1
"PER",2012,0,1
"PER",2013,0,1
"PER",2014,0,1
"PER",2016,0,2
"PER",2018,0,1
"PER",2019,0,1
"PHL",2002,1,1
"PHL",2007,1,0
"PHL",2009,0,1
"PHL",2011,0,1
"PHL",2012,0,3
"PHL",2013,0,1
"PHL",2015,1,0
"PHL",2016,0,1
"PHL",2017,0,3
"PHL",2019,1,7
"PLW",2015,1,0
"PNG",2000,0,1
"PNG",2001,0,1
"PNG",2002,0,2
"PNG",2005,0,1
"PNG",2015,1,0
"PNG",2018,0,3
"PNG",2019,0,1
"POL",2018,1,0
"PRK",2012,1,0
"PRK",2015,1,0
"PRK",2017,1,0
"PRK",2019,1,0
"PRT",2004,1,0
"PRY",2005,1,0
"PRY",2008,1,0
"PRY",2009,1,0
"PRY",2012,1,0
"PRY",2013,1,0
"PRY",2016,1,0
"ROU",2000,1,0
"RUS",2000,0,1
"RUS",2003,1,1
"RUS",2004,0,1
"RUS",2006,0,1
"RUS",2007,0,1
"RUS",2008,0,1
"RUS",2010,1,0
"RUS",2012,1,0
"RWA",2002,0,1
"RWA",2003,1,0
"RWA",2008,0,1
"SCG",2002,0,1
"SDN",2011,1,0
"SDN",2015,1,0
"SEN",2002,1,0
"SEN",2011,1,0
"SEN",2014,1,0
"SEN",2018,1,0
"SLB",2007,0,1
"SLB",2010,0,1
"SLB",2013,0,1
"SLB",2015,1,0
"SLB",2016,0,1
"SLV",2001,1,2
"SLV",2005,0,1
"SLV",2006,0,1
"SLV",2009,1,0
"SLV",2014,1,0
"SLV",2018,1,1
"SLV",2019,0,1
"SOM",2004,1,1
"SOM",2005,1,0
"SOM",2008,1,0
"SOM",2010,1,0
"SOM",2011,1,0
"SOM",2014,1,0
"SOM",2015,1,0
"SOM",2019,1,0
"SRB",2010,0,1
"SSD",2009,1,0
"SSD",2016,1,0
"SVN",2004,0,1
"SWZ",2001,1,0
"SWZ",2007,1,0
"SWZ",2016,1,0
"SWZ",2019,1,0
"SYC",2004,0,1
"SYR",2008,1,0
"TCD",2001,1,0
"TCD",2009,1,0
"TCD",2012,1,0
"TCD",2017,1,0
"THA",2002,1,0
"THA",2004,0,1
"THA",2005,1,0
"THA",2008,1,0
"THA",2010,1,0
"THA",2011,1,1
"THA",2012,1,0
"THA",2014,1,1
"THA",2015,1,0
"THA",2019,1,0
"TJK",2000,1,1
"TJK",2002,0,2
"TJK",2004,0,1
"TJK",2006,0,1
"TJK",2007,0,1
"TJK",2008,1,0
"TJK",2010,0,1
"TJK",2011,0,1
"TJK",2012,0,1
"TJK",2015,0,1
"TJK",2016,0,1
"TKM",2000,0,1
"TLS",2007,1,0
"TLS",2015,0,1
"TLS",2016,1,0
"TON",2009,0,1
"TON",2015,1,0
"TTO",2010,1,0
"TUR",2000,0,2
"TUR",2001,0,2
"TUR",2002,0,1
"TUR",2003,0,4
"TUR",2004,0,3
"TUR",2005,0,3
"TUR",2010,0,1
"TUR",2011,0,3
"TUR",2014,0,1
"TUR",2017,0,1
"TUR",2019,0,1
"TUV",2011,1,0
"TWN",2002,0,1
"TWN",2006,0,1
"TWN",2010,0,1
"TWN",2013,0,2
"TWN",2016,0,1
"TWN",2018,0,1
"TZA",2000,0,1
"TZA",2001,0,1
"TZA",2002,0,1
"TZA",2003,1,0
"TZA",2004,1,1
"TZA",2005,0,1
"TZA",2006,1,0
"TZA",2011,1,0
"TZA",2016,0,1
"UGA",2002,1,0
"UGA",2005,1,0
"UGA",2008,1,0
"UGA",2010,1,0
"UGA",2016,0,1
"UKR",2012,1,0
"URY",2018,1,0
"USA",2000,2,1
"USA",2001,0,1
"USA",2002,1,0
"USA",2003,0,1
"USA",2006,0,1
"USA",2007,1,0
"USA",2008,0,1
"USA",2010,0,1
"USA",2011,1,0
"USA",2012,2,0
"USA",2014,1,1
"USA",2015,1,0
"USA",2016,0,1
"USA",2017,1,0
"USA",2018,1,0
"USA",2019,0,1
"UZB",2000,1,0
"UZB",2011,0,1
"VCT",2010,1,0
"VEN",2009,1,0
"VNM",2002,1,0
"VNM",2005,1,0
"VNM",2015,1,0
"VNM",2019,1,0
"VUT",2002,0,2
"WSM",2009,0,1
"WSM",2015,1,0
"ZAF",2004,1,0
"ZAF",2005,0,1
"ZAF",2014,0,1
"ZAF",2015,1,0
"ZAF",2017,1,0
"ZAF",2019,1,0
"ZMB",2005,1,0
"ZMB",2019,1,0
"ZWE",2001,1,0
"ZWE",2007,1,0
"ZWE",2010,1,0
"ZWE",2013,1,0
"ZWE",2017,1,0
